ID Viejo,ID Nuevo
34002102,76000
34002107,76001
34002141,76002
34003009,76003
34002521,76004
34002150,76005
34003010,76006
34003008,76007
34002524,76008
34002520,76009
34002123,76010
34002502,76011
34002800,76012
34002110,76013
34002802,76014
34002505,76015
34002503,76016
34002511,76017
34002504,76018
34002519,76019
34002507,76020
34002512,76021
34002508,76022
34002534,76023
34002533,76024
34002510,76025
34002506,76026
34002509,76027
34002145,76028
34002501,76029
34002513,76030
34002104,76031
34002124,76032
34002528,76033
34002801,76034
34002135,76035
34002132,76036
34002130,76037
34002126,76038
34002131,76039
34002125,76040
34003001,76041
34003000,76042
34002146,76043
34002108,76044
34002526,76045
34002500,76046
34002529,76047
34002527,76048
34002103,76049
34002121,76050
34002525,76051
34002523,76052
34002105,76053
34002120,76054
34002140,76055
34003004,76056
34003005,76057
34003007,76058
34002122,76059
34002101,76060
34002115,76061
34002111,76062
34002116,76063
34002160,76064
34002113,76065
34002164,76066
34002114,76067
34002112,76068
34002109,76069
34002117,76070
34002118,76071
34002119,76072
34002522,76073
34002551,76074
34002106,76075
34002530,76076
34002199,76077
34003006,76078
34003002,76079
34003003,76080
34002142,76081
34002911,76082
34002919,76083
34002859,76084
34002174,76085
34002820,76086
34003017,76087
34003011,76088
34003012,76089
34003013,76090
34003014,76091
34003016,76092
34003029,76093
34002230,76094
34002868,76095
34002818,76096
34002819,76097
34002538,76098
34002173,76099
34002963,76100
34002807,76101
34002940,76102
34002246,76103
34002247,76104
34002233,76105
34002816,76106
34002976,76107
34002888,76108
34002829,76109
34002830,76110
34002969,76111
34002152,76112
34002172,76113
34002159,76114
34003020,76115
34003025,76116
34002223,76117
34002874,76118
34002208,76119
34002901,76120
34002861,76121
34002872,76122
34002220,76123
34002162,76124
34003022,76125
34003023,76126
34002804,76127
34002891,76128
34002831,76129
34002925,76130
34002181,76131
34002870,76132
34002826,76133
34002851,76134
34002892,76135
34002852,76136
34002920,76137
34002837,76138
34002835,76139
34002836,76140
34002866,76141
34002867,76142
34002895,76143
34002907,76144
34002941,76145
34002936,76146
34002937,76147
34002934,76148
34002156,76149
34002143,76150
34002211,76151
34002537,76152
34002197,76153
34002151,76154
34002908,76155
34002962,76156
34002244,76157
34002910,76158
34002964,76159
34002953,76160
34002952,76161
34002877,76162
34002979,76163
34002133,76164
34002180,76165
34002168,76166
34002561,76167
34002968,76168
34002540,76169
34002541,76170
34002542,76171
34002136,76172
34002144,76173
34002163,76174
34002167,76175
34002560,76176
34002215,76177
34002858,76178
34002863,76179
34002970,76180
34002188,76181
34002235,76182
